filename Ptrue Pbrani Pjames RRtype
ps1_-2263146773683749320cleaned.txt 0.625788 0.625793 3.298221 ab
ps1_-2294496049214998325cleaned.txt 0.647261 0.647258 0.410780 ab
ps1_-2335151591163369476cleaned.txt 0.613291 0.613270 0.450258 ab
ps1_-2366659196369021101cleaned.txt 0.793004 0.809989 0.536823 ab
ps1_-2384726371436753699cleaned.txt 0.547987 0.548005 5.951137 ab
ps1_-2420719984083598201cleaned.txt 0.641754 0.641758 0.641780 ab
ps1_-2438505684174295649cleaned.txt 0.612263 0.612271 0.572166 ab
ps1_-2438523276358916783cleaned.txt 0.311494 0.331100 0.569009 c
ps1_-2443396311894848709cleaned.txt 0.625055 0.625030 0.441933 ab
ps1_-2456590451428041141cleaned.txt 0.562575 0.562581 4.175673 ab
ps1_-2456660820172226990cleaned.txt 0.612523 0.612523 0.561431 ab
ps1_-2461375526032225634cleaned.txt 0.570202 0.570204 5.589246 ab
ps1_-2474587257751602794cleaned.txt 0.631853 0.631870 1.034695 ab
ps1_-2492672025005135256cleaned.txt 0.509529 0.509540 12.850151 ab
ps1_-2497492283981469052cleaned.txt 0.566611 0.534637 0.771580 ab
ps1_-2510704015700661800cleaned.txt 0.738330 0.738321 0.258309 ab
ps1_-2551641032626136668cleaned.txt 0.589420 0.589461 2.884004 ab
ps1_-2587458723412695465cleaned.txt 0.600623 0.600632 0.829341 ab
ps1_-2605701820340700672cleaned.txt 0.626164 0.626157 0.406102 ab
ps1_-2636540922476256604cleaned.txt 0.555802 0.555824 2.145193 ab
ps1_-2636664067778855617cleaned.txt 0.352261 0.495277 0.352267 c
ps1_-2641589879871187411cleaned.txt 0.275606 0.379956 0.224554 c
ps1_-2641818578289741312cleaned.txt 0.587522 0.587512 0.206584 ab
ps1_-2690672078934878590cleaned.txt 0.680392 0.680411 0.336885 ab
ps1_-2695668259771813829cleaned.txt 0.671165 0.671169 0.390520 ab
ps1_-2708598516514357675cleaned.txt 0.607426 0.607420 2.487809 ab
ps1_-2731802609907107893cleaned.txt 0.536351 0.508290 0.299055 ab
ps1_-2749764231858432743cleaned.txt 0.498292 0.498296 0.498287 ab
ps1_-2762624119856736468cleaned.txt 0.622184 0.622148 0.888638 ab
ps1_-2798424218457216577cleaned.txt 0.603456 0.603462 1.943084 ab
ps1_-2816614538827190603cleaned.txt 0.609833 0.609824 1.121270 ab
ps1_-2821997747756713673cleaned.txt 0.642761 0.642775 0.458443 ab
ps1_-2822138485245202117cleaned.txt 0.486398 0.486397 0.535400 ab
ps1_-2870499404680863895cleaned.txt 0.907497 0.497427 0.581524 ab
ps1_-2876216865145743696cleaned.txt 0.606785 0.606782 0.634964 ab
ps1_-2894037749608611317cleaned.txt 0.630912 0.527153 0.657780 ab
ps1_-2906633754816311174cleaned.txt 0.339004 0.339008 0.339023 c
ps1_-2924454639279214947cleaned.txt 0.515945 0.515935 0.605761 ab
ps1_-2930260060674141584cleaned.txt 0.328689 0.328693 0.369265 c
ps1_-2942398669044683110cleaned.txt 0.550573 0.550560 0.664085 ab
ps1_-2948151313881317620cleaned.txt 0.686836 0.686827 0.948729 ab
ps1_-2978462650435715326cleaned.txt 0.527016 0.527017 0.912420 ab
ps1_-2984320848388668579cleaned.txt 0.350861 0.350850 0.271131 c
ps1_-2984443993690833022cleaned.txt 0.626808 0.626803 0.775231 ab
ps1_-3002212101595816862cleaned.txt 0.578921 0.578940 0.529300 ab
ps1_-3014385894338349574cleaned.txt 0.333306 0.333307 1.848428 c
ps1_-3092477608189328065cleaned.txt 0.569411 0.569401 0.243279 ab
ps1_-3104405110327815455cleaned.txt 0.744957 0.661073 0.234006 ab
ps1_-3104457886885947496cleaned.txt 0.635455 0.635455 0.635500 ab
ps1_-3122401916651301731cleaned.txt 0.587713 0.587736 2.059417 ab
ps1_-3122419508837297468cleaned.txt 0.627314 0.627305 0.359964 ab
ps1_-3146503211532153577cleaned.txt 0.394196 0.312828 0.394139 c
ps1_-3158430713670264886cleaned.txt 0.531024 0.531021 8.352216 ab
ps1_-3164693531902064859cleaned.txt 0.305165 0.406039 0.324924 c
ps1_-3164763900646193461cleaned.txt 0.454669 0.454680 0.454647 ab
ps1_-3182672746039235652cleaned.txt 0.469270 0.469265 0.373545 ab
