DES     g 3.665
DES     r 2.464
DES     i 1.804
DES     z 1.380
DES     Y 1.196
SDSS    u 4.799
SDSS    g 3.737
SDSS    r 2.587
SDSS    i 1.922
SDSS    z 1.430
UKIRT   J 0.804
UKIRT   H 0.508
UKIRT   K 0.341
Landolt U 4.905
Landolt B 4.106
Landolt V 3.106
Landolt R 2.458
Landolt I 1.704
