psf_inst_mag_sig filterid mjd_obs ucalmag
0.0106841 g 55479.4995490746 17.9921555519104
0.00874445000000001 g 55508.3380828049 17.8735718727112
0.00924403000000007 g 55508.3492061188 17.9067416191101
0.0117372 g 55863.3853314286 18.2144656181335
0.0122233 g 55863.3969533074 18.2510771751404
0.00964765999999995 g 56214.473692062 17.8377718925476
0.00926165000000001 g 56214.4867735384 17.8394293785095
0.010599 r 55535.2666026838 18.1515645980835
0.0104884999999999 r 55535.2787700508 18.18177318573
0.0106660999999999 r 55863.3613675474 18.0110034942627
0.0115258 r 55863.3723839759 18.0355644226074
0.0116031999999999 r 56206.5152905937 18.2872123718262
0.0116799000000001 r 56206.527973449 18.2842178344727
0.0109279 i 55484.4096422162 18.2279648780823
0.0107523 i 55484.420436108 18.2463603019714
0.0125084 i 56206.568170445 18.2459988594055
0.0178767 z 55427.6288912558 18.2158992290497
0.0249269999999999 z 55427.6359959868 18.2038733959198
0.0162437 z 55797.6191984677 18.2613694667816
0.0164 z 55797.6281673094 18.2437131404877
0.0192110999999999 z 56143.5976052694 18.1709077358246
0.0373304999999999 y 55416.6162304166 17.9766461849213
0.0406238000000001 y 55933.2761939225 18.0284240245819
0.0337312999999999 y 55933.2771647982 18.0058629512787
0.0373933 y 55933.2820642516 17.9752280712128
0.0342494 y 55933.2830352537 17.9982755184174
0.0407469 y 56143.6224724417 18.1446902751923
