psf_inst_mag_sig filterid mjd_obs ucalmag
0.00670054999999992 g 55427.4879793649 17.1916728019714
0.00658942000000007 g 55427.4992510808 17.2202477455139
0.00812400999999996 g 55799.3561128116 17.640561580658
0.00850868999999999 g 55799.3662696234 17.6717257499695
0.00831336000000005 g 55803.3568748938 17.7208018302917
0.00821263000000005 g 55803.3684532316 17.7205538749695
0.00987363999999991 g 56154.5268940702 17.7149815559387
0.00673583999999994 g 56155.4474852305 17.3911232948303
0.0051854899999999 r 55091.3992302391 17.2597742080688
0.00536940999999991 r 55098.3306977073 17.4196643829346
0.00549865000000005 r 55427.4555184711 16.8934860229492
0.00521898999999992 r 55427.4672556045 16.9146966934204
0.00684098 r 55799.37789005 17.3626003265381
0.00657536000000003 r 55799.3875832408 17.4117650985718
0.00614135999999998 r 55803.3808174793 17.3966178894043
0.0060654200000001 r 55803.3919195048 17.3788452148438
0.00699063999999994 r 56149.5325710081 17.4429912567139
0.00696779999999997 r 56149.5430466084 17.4405670166016
0.00580022000000002 i 55455.3002973644 17.0710453987122
0.00595077000000011 i 55455.3016455964 17.08052110672
0.00570186000000006 i 55455.311655337 17.1309428215027
0.00602715999999992 i 55455.3131279797 17.1459488868713
0.0063339899999999 i 55808.3596418804 17.2963004112244
0.00630068000000006 i 55808.370558991 17.2910780906677
0.00586788000000005 i 55809.3356003557 17.2185664176941
0.00592597000000006 i 55809.3476374362 17.2195076942444
0.00650120999999992 i 56148.5101306397 17.3761115074158
0.00653283000000004 i 56148.5225969733 17.4054646492004
0.00977538999999994 z 55521.2077236996 16.7689883708954
0.00938901999999997 z 55875.2045227936 16.9682471752167
0.00948324 z 55875.2097694751 16.9480321407318
0.0112299 z 56084.5928460853 17.2622420787811
0.0114654999999999 z 56084.6045354396 17.2639129161835
0.0171341 y 55347.6099170428 16.9604194164276
0.0139951 y 55363.6036319976 16.7245690822601
0.0160705000000001 y 55363.6080652257 16.7570035457611
0.0167961000000001 y 55363.6107584823 16.8055331707001
0.0200247 y 55875.192761636 16.9358727931976
0.0182728000000001 y 55875.1980282623 16.9241893291473
0.0139581 y 56092.6139271561 16.7764127254486
0.0148836000000001 y 56092.6184011722 16.7902762889862
