psf_inst_mag_sig filterid mjd_obs ucalmag
0.00898445999999997 g 55479.4058719963 17.5097441673279
0.00859823999999998 g 55508.3342581256 17.7780566215515
0.00855578000000001 g 55508.3453710234 17.7775015830994
0.00758582000000008 g 56211.4250008906 17.5562491416931
0.00718522999999993 g 56211.4375098744 17.4657073020935
0.00799003999999992 r 55481.428021727 17.5602550506592
0.00760318000000004 r 55481.4390124629 17.5838680267334
0.00726449000000007 r 55535.2617565645 17.5079650878906
0.00715829999999995 r 55535.2733741133 17.5109176635742
0.0061684500000001 r 56207.4981609006 17.2332553863525
0.00637698999999992 r 56207.5097590104 17.2464895248413
0.00399931999999992 i 55174.3047975773 17.3575420379639
0.00756347000000002 i 55484.4056881191 17.5022721290588
0.0073949499999999 i 55484.4164185171 17.5165123939514
0.00645195999999992 i 56207.5239479467 17.2409281730652
0.00644069999999997 i 56207.5366796618 17.237428188324
0.00640909999999995 i 56224.3430900266 17.2653861045837
0.00674741999999995 i 56233.4272569913 17.3671402931213
0.00698952000000008 i 56233.4402218815 17.3718152046204
0.00943714999999989 z 55427.6243736753 17.3209407329559
0.0101891000000001 z 55427.6313985935 17.3107497692108
0.00968484999999997 z 55912.2041440628 17.1651856899261
0.0103863 z 55912.2158490721 17.1733462810516
0.00957180999999996 z 56143.5855891024 17.0895345211029
0.00908956999999999 z 56143.5961612478 17.1386077404022
0.0188473 y 55416.6104928307 17.1352136135101
0.0192577 y 55416.6212864909 17.2387826442719
0.0250231000000001 y 55918.1944304205 17.2625253200531
0.02295 y 55918.2002874063 17.2639710903168
0.0193186000000001 y 56143.6210295712 17.0782392024994
0.0200383 y 56143.6324522143 17.1687581539154
