psf_inst_mag_sig filterid mjd_obs ucalmag
0.0210295 g 55029.5492894198 19.184042930603
0.0211817999999999 g 55029.558058678 19.0855121612549
0.0187499 g 55391.4253689921 19.0312600135803
0.0196632999999999 g 56151.3885676604 18.8131041526794
0.0179555 g 56151.4004296409 18.759868144989
0.0159809 g 56160.3568800601 18.7218308448792
0.015741 g 56160.3682758155 18.7575297355652
0.0189419 r 55427.3391988369 18.7281513214111
0.0149208999999999 r 55794.3140062867 18.7639932632446
0.0148854 r 55794.3250082261 18.69176197052
0.0152873 r 55795.4480490354 18.6971607208252
0.0158417 r 55858.2181150494 18.7936458587646
0.0169988999999999 r 55858.2294572443 18.8387384414673
0.0208853 r 56151.367587131 18.8716926574707
0.0162945999999999 r 56151.3773622416 18.7641916275024
0.0146725999999999 i 55442.2655165758 18.7317252159119
0.0152642000000001 i 55442.2766526219 18.7348980903625
0.0186818 i 55794.3728502225 18.7449355125427
0.0438322 z 55479.2134992247 19.0838038921356
0.0318883000000001 z 55863.20694237 18.7781236171722
0.0393094 z 55863.217793785 18.8658950328827
0.0394667 z 56067.5763511216 19.1609904766083
0.0394067 z 56067.5882520796 19.1064603328705
0.0937760999999999 y 54987.6118135193 18.768372297287
0.100608 y 55342.5737305648 18.9406630992889
0.0761069999999999 y 55342.586303486 18.6674439907074
0.0797859999999999 y 55846.2488694551 18.9925897121429
0.0924425 y 55846.2597545013 19.1154816150665
