psf_inst_mag_sig filterid mjd_obs ucalmag
0.00585699000000006 g 55391.426691988 17.0803446769714
0.00596060000000009 g 55391.4384965901 17.1044936180115
0.00639469000000004 g 55795.3363204882 17.268506526947
0.00656271000000008 g 55795.3468764588 17.2848839759827
0.00611223999999999 g 56151.3892013939 17.1458172798157
0.00574878000000001 g 56151.4010627284 17.135995388031
0.0042232900000001 g 56160.4674998814 16.6560463905334
0.00590536000000008 r 55422.5042546428 17.0039253234863
0.00586938000000004 r 55422.5157803137 16.9854354858398
0.00517682999999991 r 55795.4251022688 16.9765758514404
0.00489282999999996 r 55795.4498607847 16.8960781097412
0.00505263 r 55858.2306799405 16.9174737930298
0.00544642999999989 r 56151.3681860161 16.9355087280273
0.00509695999999993 r 56151.3786419258 16.9458923339844
0.00486629000000005 i 55794.3620694404 16.9038004875183
0.00513785000000011 i 55794.3741826103 16.8842940330505
0.00522843000000006 i 55848.278873596 16.8092093467712
0.00576960999999998 i 55848.2895915578 16.8371424674988
0.00512125999999991 i 56144.3657831378 16.7703452110291
0.0056717799999999 i 56144.376746423 16.757447719574
0.00467387999999991 i 56166.3342858073 16.694365978241
0.00497629000000011 i 56166.3459981989 16.7138381004333
0.0076505 z 55333.6109692296 16.6909739971161
0.00802348000000008 z 55333.6174219968 16.7237708568573
0.00708358999999992 z 56067.5778225339 16.6812188625336
0.00734904000000003 z 56067.5897247015 16.6794135570526
0.0131300999999999 y 54987.6040615184 16.6578614711761
0.0183928 y 55342.5800788742 16.7952754497528
0.0170956 y 55342.5927769677 16.8345191478729
0.0156508 y 55699.5623441128 16.659558057785
0.0152566000000001 y 55699.5731366688 16.6569402217865
0.0143869999999999 y 55847.2069270857 16.747879743576
0.0161009000000001 y 55847.2186490968 16.8134219646454
