psf_inst_mag_sig filterid mjd_obs ucalmag
0.00788356000000001 g 55795.3342032745 17.6501173973083
0.00777442000000006 g 55795.3447645278 17.6553149223328
0.00775176000000011 g 56151.389929615 17.4756426811218
0.00768600000000008 g 56160.3568800601 17.6441750526428
0.00761911999999998 g 56160.3682758155 17.6486392021179
0.0068511 r 55427.3278234672 17.2669925689697
0.00709811999999999 r 55427.3391988369 17.3160057067871
0.00677138999999993 r 55858.2181150494 17.3851366043091
0.00684521999999999 r 55858.2294572443 17.3907194137573
0.00576215999999996 r 56151.367587131 17.1267509460449
0.00554362000000008 r 56151.3773622416 17.166651725769
0.00510940999999998 i 55442.2655165758 16.9539103507996
0.00515307999999992 i 55442.2766526219 16.9811129570007
0.0044651 i 55794.3607293475 16.7716422080994
0.00497226999999989 i 55794.3728502225 16.787214756012
0.0065497000000001 i 56144.3760891407 17.035952091217
0.00921847999999992 z 55332.6164316033 17.0205113887787
0.00948494000000011 z 55332.6214688571 16.9403293132782
0.0100396 z 55479.2134992247 17.1694695949554
0.0182617 y 54987.6118135193 16.8793675899506
0.0146208000000001 y 55342.5731568606 16.622921705246
0.016356 y 55342.5737305648 16.6156003475189
0.0169501000000001 y 55342.5857737724 16.7125413417816
0.0172299 y 55342.586303486 16.7107417583466
