objname,ra,dec,cutout_size,E_B_V_SandF,mean_E_B_V_SandF,stdev_E_B_V_SandF,max_E_B_V_SandF,min_E_B_V_SandF,AV_SandF,E_B_V_SFD,mean_E_B_V_SFD,stdev_E_B_V_SFD,max_E_B_V_SFD,min_E_B_V_SFD,AV_SFD,errmsg
,333.97356,-0.37303,5.0,0.0772,0.0754,0.0017,0.0778,0.072,0.2395,0.0898,0.0876,0.0019,0.0905,0.0837,0.2785,
,334.0258,1.10173,5.0,0.0371,0.0377,0.0011,0.04,0.0365,0.115,0.0431,0.0438,0.0013,0.0465,0.0424,0.1337,
,331.3185,-0.12688,5.0,0.0537,0.0561,0.0033,0.0631,0.0519,0.1666,0.0625,0.0652,0.0039,0.0734,0.0603,0.1937,
,331.8963,1.00862,5.0,0.0425,0.0429,0.0012,0.0448,0.0409,0.1318,0.0495,0.0498,0.0014,0.052,0.0476,0.1533,
,330.20002,-0.70198,5.0,0.064,0.0632,0.0009,0.0641,0.061,0.1983,0.0744,0.0735,0.001,0.0746,0.0709,0.2305,
,334.48296,-1.1186,5.0,0.073,0.0737,0.0021,0.078,0.0711,0.2263,0.0849,0.0857,0.0025,0.0907,0.0827,0.2632,
,333.86144,1.23237,5.0,0.0357,0.0359,0.0007,0.0372,0.0347,0.1108,0.0416,0.0418,0.0008,0.0432,0.0403,0.1288,
,331.88216,1.2543,5.0,0.0407,0.041,0.0005,0.0422,0.04,0.1263,0.0474,0.0477,0.0006,0.0491,0.0465,0.1469,
,330.81466,0.47328,5.0,0.0493,0.0497,0.0008,0.0513,0.0482,0.1527,0.0573,0.0578,0.001,0.0597,0.056,0.1776,
,330.26196,0.4453,5.0,0.0459,0.0463,0.0006,0.0479,0.0454,0.1422,0.0533,0.0538,0.0007,0.0557,0.0528,0.1653,
,333.02943,0.19723,5.0,0.0541,0.0529,0.0015,0.0544,0.0497,0.1676,0.0629,0.0616,0.0017,0.0633,0.0578,0.1949,
,334.85916,0.92923,5.0,0.0643,0.0617,0.0027,0.0673,0.0574,0.1992,0.0747,0.0718,0.0032,0.0783,0.0667,0.2316,
,333.00553,-0.05729,5.0,0.0516,0.0529,0.0025,0.0595,0.0491,0.16,0.06,0.0615,0.003,0.0692,0.0571,0.1861,
,330.80723,1.10477,5.0,0.0423,0.042,0.0008,0.043,0.0403,0.1311,0.0492,0.0488,0.0009,0.05,0.0469,0.1524,
,331.53577,0.01085,5.0,0.0708,0.0718,0.0039,0.0794,0.0649,0.2196,0.0824,0.0835,0.0045,0.0923,0.0754,0.2554,
,333.06718,-0.7705,5.0,0.068,0.0693,0.0018,0.0728,0.0667,0.211,0.0791,0.0806,0.0021,0.0847,0.0776,0.2453,
,332.79202,0.31138,5.0,0.0407,0.0412,0.0016,0.0444,0.0387,0.1262,0.0473,0.0479,0.0019,0.0516,0.045,0.1467,
,334.37849,-0.46554,5.0,0.0693,0.0696,0.003,0.0766,0.0653,0.2147,0.0805,0.0809,0.0035,0.0891,0.0759,0.2497,
,332.71214,-0.29609,5.0,0.0588,0.0596,0.0011,0.0633,0.0578,0.1822,0.0683,0.0693,0.0013,0.0736,0.0672,0.2118,
,333.00529,0.10069,5.0,0.0537,0.0523,0.0014,0.0543,0.0498,0.1666,0.0625,0.0608,0.0016,0.0631,0.0579,0.1937,
,333.96453,0.30291,5.0,0.056,0.0577,0.006,0.0692,0.0489,0.1737,0.0652,0.0671,0.0069,0.0805,0.0568,0.202,
,330.67129,0.97073,5.0,0.0456,0.0451,0.0013,0.0468,0.0425,0.1413,0.053,0.0524,0.0016,0.0545,0.0494,0.1643,
,332.81277,-0.00859,5.0,0.0512,0.0507,0.0031,0.0554,0.045,0.1586,0.0595,0.059,0.0036,0.0644,0.0523,0.1845,
,330.71541,-0.27921,5.0,0.0557,0.0555,0.0018,0.0581,0.0525,0.1725,0.0647,0.0645,0.0021,0.0675,0.0611,0.2006,
,332.7426,-0.83219,5.0,0.0726,0.0727,0.0038,0.0818,0.0669,0.2249,0.0844,0.0845,0.0045,0.0952,0.0778,0.2615,
,334.63942,0.87811,5.0,0.0512,0.0518,0.0008,0.054,0.0505,0.1587,0.0595,0.0602,0.0009,0.0628,0.0587,0.1846,
,334.75273,0.13671,5.0,0.0701,0.0706,0.0042,0.0789,0.0637,0.2173,0.0815,0.0821,0.0049,0.0917,0.0741,0.2527,
,331.37425,-0.9907,5.0,0.087,0.0875,0.0031,0.0939,0.0821,0.2698,0.1012,0.1017,0.0036,0.1092,0.0955,0.3137,
,333.17827,1.18857,5.0,0.0295,0.0293,0.0014,0.0324,0.0264,0.0915,0.0343,0.0341,0.0017,0.0376,0.0307,0.1064,
,330.82964,-1.09768,5.0,0.0753,0.0777,0.0037,0.086,0.0727,0.2335,0.0876,0.0903,0.0043,0.1,0.0845,0.2715,
,334.73617,0.2872,5.0,0.0627,0.0619,0.0029,0.0675,0.0571,0.1943,0.0729,0.072,0.0033,0.0785,0.0664,0.2259,
,331.74314,0.28229,5.0,0.0703,0.0696,0.0041,0.0771,0.0604,0.218,0.0818,0.0809,0.0047,0.0897,0.0702,0.2535,
,333.82696,0.5766,5.0,0.049,0.0484,0.0014,0.0515,0.0456,0.1521,0.057,0.0563,0.0016,0.0599,0.053,0.1768,
,332.63146,-0.25432,5.0,0.0611,0.0619,0.0024,0.0677,0.0583,0.1895,0.0711,0.072,0.0028,0.0787,0.0678,0.2203,
,331.89646,0.06704,5.0,0.0939,0.0891,0.0091,0.1072,0.0734,0.291,0.1092,0.1036,0.0106,0.1246,0.0853,0.3384,
,331.08646,-0.89571,5.0,0.0697,0.0701,0.0019,0.0735,0.0666,0.2162,0.0811,0.0815,0.0022,0.0855,0.0775,0.2514,
,334.2901,1.04638,5.0,0.0509,0.0507,0.0024,0.0543,0.0455,0.1578,0.0592,0.0589,0.0028,0.0632,0.0529,0.1834,
,333.46014,-1.19166,5.0,0.0966,0.0956,0.0029,0.101,0.0893,0.2993,0.1123,0.1112,0.0034,0.1174,0.1038,0.348,
,330.8482,0.82958,5.0,0.0461,0.0465,0.0022,0.0505,0.043,0.1428,0.0536,0.0541,0.0026,0.0587,0.0501,0.1661,
,331.62421,1.25615,5.0,0.0403,0.041,0.0009,0.0432,0.0393,0.125,0.0469,0.0477,0.0011,0.0502,0.0456,0.1453,
,334.85607,-0.26573,5.0,0.0656,0.0655,0.0024,0.0699,0.0607,0.2032,0.0762,0.0762,0.0027,0.0813,0.0706,0.2363,
,331.63187,-1.14781,5.0,0.0834,0.0837,0.0023,0.0878,0.0792,0.2584,0.0969,0.0974,0.0027,0.1021,0.0921,0.3005,
,332.48051,-0.95125,5.0,0.0867,0.0869,0.0011,0.0888,0.0844,0.2689,0.1009,0.101,0.0013,0.1033,0.0982,0.3127,
,334.91648,-0.14681,5.0,0.064,0.0633,0.0033,0.0697,0.0574,0.1983,0.0744,0.0735,0.0038,0.081,0.0668,0.2305,
,331.09233,-1.12149,5.0,0.0701,0.0724,0.0032,0.0785,0.0679,0.2172,0.0815,0.0842,0.0037,0.0912,0.0789,0.2526,
,330.32943,0.60883,5.0,0.0464,0.0466,0.0013,0.0484,0.0443,0.1439,0.054,0.0542,0.0015,0.0563,0.0515,0.1673,
,330.92982,-1.0412,5.0,0.0723,0.0724,0.0013,0.0752,0.0693,0.2243,0.0841,0.0842,0.0015,0.0874,0.0805,0.2608,
,332.65875,0.21688,5.0,0.0414,0.0416,0.0017,0.0453,0.0392,0.1284,0.0482,0.0484,0.0019,0.0527,0.0456,0.1493,
,330.24089,-0.49475,5.0,0.0586,0.0583,0.0035,0.0636,0.0511,0.1817,0.0682,0.0678,0.0041,0.0739,0.0594,0.2113,
,332.22461,1.01417,5.0,0.0389,0.0395,0.0007,0.0406,0.0381,0.1206,0.0453,0.0459,0.0008,0.0472,0.0443,0.1403,
,332.69819,0.61446,5.0,0.0381,0.0384,0.0007,0.0404,0.0375,0.1181,0.0443,0.0447,0.0009,0.047,0.0436,0.1373,
,333.55864,1.01173,5.0,0.0371,0.0374,0.0019,0.0419,0.0346,0.1149,0.0431,0.0435,0.0022,0.0487,0.0403,0.1336,
,330.50955,-0.50448,5.0,0.059,0.0584,0.004,0.0653,0.0522,0.1829,0.0686,0.0679,0.0047,0.0759,0.0607,0.2127,
,330.95999,-0.8811,5.0,0.0735,0.0726,0.001,0.0738,0.0699,0.228,0.0855,0.0844,0.0011,0.0858,0.0813,0.2651,
,332.93343,1.03054,5.0,0.0376,0.0379,0.0014,0.0402,0.0352,0.1164,0.0437,0.0441,0.0016,0.0468,0.0409,0.1354,
,332.59379,0.03851,5.0,0.0517,0.0517,0.0033,0.0583,0.0461,0.1603,0.0601,0.0601,0.0039,0.0678,0.0536,0.1864,
,330.69021,0.4137,5.0,0.0516,0.0505,0.0009,0.0519,0.0491,0.1599,0.06,0.0587,0.001,0.0604,0.0571,0.1859,
,331.80569,-0.13487,5.0,0.0959,0.1001,0.0073,0.1103,0.0863,0.2974,0.1116,0.1163,0.0085,0.1283,0.1003,0.3458,
